vector_type,size,algorithm,time_ns,comparisons
reversed,1400,MergeSort,2917291,12467
reversed,1400,MsdRadixQuickSort,7182125,11970
reversed,1400,MsdRadixSort,3851916,0
reversed,1400,QuickSort,8913666,120332
reversed,1400,StringMergeSort,3191917,5597
reversed,1400,TernaryQuickSort,9261584,22107
reversed,1500,MergeSort,3115000,13376
reversed,1500,MsdRadixQuickSort,7724625,12571
reversed,1500,MsdRadixSort,4039833,0
reversed,1500,QuickSort,9849834,131379
reversed,1500,StringMergeSort,3691584,5952
reversed,1500,TernaryQuickSort,9807084,24050
reversed,1600,MergeSort,3443917,14271
reversed,1600,MsdRadixQuickSort,8475500,13647
reversed,1600,MsdRadixSort,4318375,0
reversed,1600,QuickSort,11278875,140733
reversed,1600,StringMergeSort,3629792,6305
reversed,1600,TernaryQuickSort,10957709,30167
reversed,1700,MergeSort,3577833,15137
reversed,1700,MsdRadixQuickSort,8759291,14136
reversed,1700,MsdRadixSort,4573500,0
reversed,1700,QuickSort,10958625,146670
reversed,1700,StringMergeSort,3921167,6620
reversed,1700,TernaryQuickSort,11351875,29339
reversed,1800,MergeSort,3746209,16053
reversed,1800,MsdRadixQuickSort,8981667,15441
reversed,1800,MsdRadixSort,4639000,0
reversed,1800,QuickSort,12003708,159034
reversed,1800,StringMergeSort,4170291,7075
reversed,1800,TernaryQuickSort,12097083,30379
reversed,1900,MergeSort,4032792,16740
reversed,1900,MsdRadixQuickSort,9871916,16283
reversed,1900,MsdRadixSort,4977375,0
reversed,1900,QuickSort,13224083,169093
reversed,1900,StringMergeSort,4276583,7292
reversed,1900,TernaryQuickSort,13124750,37554
reversed,2000,MergeSort,4162708,17481
reversed,2000,MsdRadixQuickSort,10349875,17273
reversed,2000,MsdRadixSort,5213833,0
reversed,2000,QuickSort,13654541,178560
reversed,2000,StringMergeSort,4566958,7648
reversed,2000,TernaryQuickSort,13216083,35236
reversed,2100,MergeSort,4394625,18576
reversed,2100,MsdRadixQuickSort,10719625,18203
reversed,2100,MsdRadixSort,5431666,0
reversed,2100,QuickSort,14167084,183508
reversed,2100,StringMergeSort,4736625,8156
reversed,2100,TernaryQuickSort,14395250,38521
reversed,2200,MergeSort,4725375,19780
reversed,2200,MsdRadixQuickSort,10872709,18647
reversed,2200,MsdRadixSort,5769834,0
reversed,2200,QuickSort,14985042,197097
reversed,2200,StringMergeSort,4949125,8589
reversed,2200,TernaryQuickSort,15667208,47257
reversed,2300,MergeSort,4829750,20916
reversed,2300,MsdRadixQuickSort,11840375,20262
reversed,2300,MsdRadixSort,5945959,0
reversed,2300,QuickSort,15819542,204199
reversed,2300,StringMergeSort,5265792,9002
reversed,2300,TernaryQuickSort,16167292,43871
reversed,2400,MergeSort,5154292,21993
reversed,2400,MsdRadixQuickSort,12242250,20238
reversed,2400,MsdRadixSort,6314625,0
reversed,2400,QuickSort,15831958,208070
reversed,2400,StringMergeSort,5440417,9393
reversed,2400,TernaryQuickSort,15793292,41568
reversed,2500,MergeSort,5241625,23544
reversed,2500,MsdRadixQuickSort,12380208,21528
reversed,2500,MsdRadixSort,6336500,0
reversed,2500,QuickSort,16333916,216522
reversed,2500,StringMergeSort,5865417,10223
reversed,2500,TernaryQuickSort,17481250,49919
reversed,2600,MergeSort,5638833,24269
reversed,2600,MsdRadixQuickSort,13213667,22485
reversed,2600,MsdRadixSort,6606583,0
reversed,2600,QuickSort,17274916,227581
reversed,2600,StringMergeSort,5933458,10376
reversed,2600,TernaryQuickSort,18948709,56026
reversed,2700,MergeSort,5804292,25498
reversed,2700,MsdRadixQuickSort,13989625,23544
reversed,2700,MsdRadixSort,7148083,0
reversed,2700,QuickSort,18348917,238151
reversed,2700,StringMergeSort,6256500,10903
reversed,2700,TernaryQuickSort,18599500,52695
reversed,2800,MergeSort,6070917,26394
reversed,2800,MsdRadixQuickSort,14202083,24422
reversed,2800,MsdRadixSort,7245292,0
reversed,2800,QuickSort,19280875,246734
reversed,2800,StringMergeSort,6512333,11261
reversed,2800,TernaryQuickSort,19817875,58012
reversed,2900,MergeSort,6282916,27448
reversed,2900,MsdRadixQuickSort,14861916,25163
reversed,2900,MsdRadixSort,7538291,0
reversed,2900,QuickSort,19054750,253144
